,delivery_partner,vehicle_type,delivery_mode,distance_km,package_weight_kg,delivery_cost
0,delhivery,bike,express,297.0,46.96,37526.094172279874
1,xpressbees,ev van,express,89.6,47.39,63710.764679349675
2,shadowfax,truck,standard,273.5,26.89,29358.017125858474
3,dhl,ev van,express,269.7,12.69,64798.776939486685
4,dhl,van,standard,256.7,37.02,30864.266036952245
5,amazon logistics,ev bike,express,48.4,33.15,3708.1772465118124
6,delhivery,scooter,express,198.3,43.79,24154.527836014942
7,xpressbees,van,express,114.6,42.63,119019.694048144
8,blue dart,van,express,142.4,14.06,75067.78543135914
9,delhivery,truck,express,47.1,29.28,79227.88753055337
10,fedex,scooter,express,293.2,22.05,15988.581868720938
11,ecom express,truck,standard,80.4,46.48,52506.936303055445
12,xpressbees,ev van,standard,257.7,20.56,27155.87487216117
13,xpressbees,bike,express,19.0,3.36,3161.4027770328307
14,xpressbees,ev bike,standard,237.9,24.59,5711.109785350541
15,amazon logistics,ev van,express,239.3,11.67,37117.09063411309
16,fedex,bike,standard,79.0,0.73,1328.4500603570825
17,blue dart,ev bike,standard,170.7,45.62,4407.42898343582
18,amazon logistics,van,express,90.0,33.7,40409.99833946137
19,fedex,truck,express,64.0,6.03,28052.454802143402
20,fedex,scooter,standard,185.9,19.1,3242.177585068844
21,dhl,scooter,standard,217.9,14.08,4172.23343622174
22,blue dart,scooter,express,214.1,40.85,29092.717266127616
23,ecom express,bike,standard,251.7,34.9,12379.00374845771
24,amazon logistics,van,standard,214.9,5.67,15372.496489265895
25,shadowfax,ev van,standard,115.4,0.67,4172.264696916422
26,dhl,ev bike,express,293.8,41.03,17790.160986950457
27,amazon logistics,scooter,standard,286.8,46.67,5364.682648525083
28,fedex,truck,express,136.1,48.1,104466.56423946466
29,dhl,bike,standard,291.4,6.12,7537.261407947786
30,fedex,bike,standard,295.0,19.68,5987.609844020514
31,ekart,truck,express,223.3,6.29,41593.77642782723
32,delhivery,scooter,express,242.5,46.73,27758.05709673607
33,fedex,ev bike,standard,35.1,22.72,951.1183727977868
34,amazon logistics,bike,express,81.8,45.51,11569.649916291015
35,delhivery,bike,express,37.6,22.81,9313.180636127576
36,amazon logistics,ev bike,express,46.8,4.72,1601.7079188306318
37,amazon logistics,scooter,express,233.4,18.0,11562.897177837125
38,ekart,bike,standard,62.2,48.58,1708.5928136185255
39,shadowfax,ev bike,standard,114.0,43.85,1943.2179213251795
40,blue dart,ev bike,express,131.5,25.79,11528.251914939092
41,xpressbees,ev van,express,21.4,16.58,22579.41659941045
42,xpressbees,truck,standard,258.5,8.37,59807.6077208576
43,dhl,van,standard,253.9,7.07,25360.864427189128
44,delhivery,ev bike,express,6.7,7.96,1524.2972610560507
45,ecom express,ev bike,standard,178.1,26.7,5445.634182796257
46,fedex,truck,standard,180.0,35.04,29995.24695616521
47,ecom express,scooter,standard,187.9,14.96,6115.6628829768415
48,xpressbees,ev van,express,78.3,49.22,65958.23972239232
49,amazon logistics,ev bike,express,51.6,23.45,3057.714784683583
50,xpressbees,ev van,express,26.9,29.86,35393.87853801373
51,blue dart,truck,express,216.7,26.89,173985.1257393694
52,dhl,van,standard,148.2,38.6,25445.57990471358
53,fedex,ev van,express,184.2,46.79,55763.44558386399
54,fedex,truck,express,167.7,42.4,103451.86836022034
55,delhivery,ev bike,standard,197.7,25.84,3681.326816264765
56,fedex,ev van,standard,211.9,46.94,15065.070871823757
57,blue dart,scooter,express,64.3,21.05,9478.654885415464
58,xpressbees,scooter,standard,206.7,3.87,5534.435639871078
59,xpressbees,bike,standard,83.5,6.81,3166.875918564772
60,ecom express,truck,express,9.3,47.62,116525.34014507777
61,xpressbees,ev bike,standard,245.9,47.01,6199.469548628408
62,dhl,ev van,express,225.7,45.7,67356.04976849654
63,ecom express,bike,express,226.0,37.62,41193.65468670702
64,dhl,bike,standard,113.3,34.03,4926.94461203107
65,ekart,ev bike,standard,232.3,41.91,1581.0177902424286
66,ecom express,scooter,express,87.7,22.38,16240.171930819313
67,dhl,van,express,90.1,27.46,58290.391089207165
68,delhivery,bike,express,110.4,44.94,22739.137413102068
69,fedex,bike,express,217.3,3.03,14142.056677189743
70,amazon logistics,truck,standard,75.2,28.25,14974.943572150527
71,blue dart,ev bike,standard,23.2,19.18,1094.8314520843805
72,fedex,ev van,express,78.5,27.87,25069.160368610726
73,blue dart,van,express,138.3,47.87,119781.47398117228
74,xpressbees,truck,standard,96.4,39.33,44686.90624666905
75,fedex,ev van,standard,216.2,23.93,14125.191903455314
76,ekart,van,express,24.1,34.1,15817.126236046724
77,ekart,scooter,standard,197.1,28.23,1745.6786279305027
78,shadowfax,ev bike,express,94.8,10.02,3202.098066406598
79,xpressbees,bike,express,56.0,22.91,15083.374633967744
80,ecom express,scooter,express,70.7,5.72,8072.628386266932
81,dhl,bike,express,60.4,22.93,11251.127434287242
82,blue dart,truck,express,258.4,22.08,205634.1096212452
83,amazon logistics,scooter,standard,89.3,34.98,2140.177672682339
84,shadowfax,van,standard,244.0,13.62,15161.924562159518
85,xpressbees,truck,standard,87.8,19.77,26833.641867732946
86,delhivery,scooter,express,3.6,20.7,4614.796957132421
87,ekart,van,standard,3.6,8.75,1027.8724987757703
88,xpressbees,van,standard,111.0,36.68,28242.753909388794
89,amazon logistics,bike,express,256.4,33.53,18761.72396377492
90,dhl,ev van,express,177.9,20.16,49795.46028871023
91,amazon logistics,ev van,standard,204.2,8.09,8139.916453361283
92,amazon logistics,ev bike,standard,125.0,39.41,2033.970672397953
93,dhl,bike,standard,83.3,34.71,4646.603446726953
94,ecom express,van,standard,193.2,33.28,40763.92241465697
95,ekart,van,standard,174.3,47.29,11069.097873879971
96,ekart,bike,express,11.4,40.22,3652.6217156532953
97,xpressbees,ev van,express,166.4,44.96,91135.61701160877
98,shadowfax,van,standard,189.6,38.07,17445.814405181143
99,blue dart,truck,express,111.2,37.33,150642.00635245722
100,amazon logistics,ev bike,express,103.2,37.97,5614.505138634837
101,blue dart,scooter,standard,236.4,47.28,7724.928700191169
102,amazon logistics,van,express,111.9,26.34,42394.18559574581
103,delhivery,ev van,standard,86.6,20.64,9529.48340089856
104,amazon logistics,ev bike,standard,235.6,48.07,2975.346612963325
105,amazon logistics,truck,express,295.5,48.45,144650.84580570745
